Gene	Origen
AAAS	Reactome
ABL1	KEGG
ACD	Reactome
ACTR1A	Reactome
AHCTF1	Reactome
AJUBA	Reactome
AKAP9	Reactome
ALMS1	Reactome
ANAPC1	KEGG & Reactome
ANAPC10	KEGG & Reactome
ANAPC11	KEGG & Reactome
ANAPC13	KEGG
ANAPC15	Reactome
ANAPC16	Reactome
ANAPC2	KEGG & Reactome
ANAPC4	KEGG & Reactome
ANAPC5	KEGG & Reactome
ANAPC7	KEGG & Reactome
ANKLE2	Reactome
APEX1	Reactome
APITD1	Reactome
ARPP19	Reactome
ATM	KEGG & Reactome
ATR	KEGG & Reactome
ATRIP	Reactome
AURKA	Reactome
AURKB	Reactome
B9D2	Reactome
BABAM1	Reactome
BANF1	Reactome
BARD1	Reactome
BIRC5	Reactome
BLM	Reactome
BLZF1	Reactome
BORA	Reactome
BRCA1	Reactome
BRCA2	Reactome
BRCC3	Reactome
BRE	Reactome
BTRC	Reactome
BUB1	KEGG & Reactome
BUB1B	KEGG & Reactome
BUB3	KEGG & Reactome
CASC5	Reactome
CCNA1	KEGG & Reactome
CCNA2	KEGG & Reactome
CCNB1	KEGG & Reactome
CCNB2	KEGG & Reactome
CCNB3	KEGG
CCND1	KEGG & Reactome
CCND2	KEGG & Reactome
CCND3	KEGG & Reactome
CCNE1	KEGG & Reactome
CCNE2	KEGG & Reactome
CCNH	KEGG & Reactome
CCP110	Reactome
CDC14A	KEGG & Reactome
CDC14B	KEGG
CDC16	KEGG & Reactome
CDC20	KEGG & Reactome
CDC23	KEGG & Reactome
CDC25A	KEGG & Reactome
CDC25B	KEGG & Reactome
CDC25C	KEGG & Reactome
CDC26	KEGG & Reactome
CDC27	KEGG & Reactome
CDC45	KEGG & Reactome
CDC6	KEGG & Reactome
CDC7	KEGG & Reactome
CDCA5	Reactome
CDCA8	Reactome
CDK1	KEGG & Reactome
CDK11A	Reactome
CDK11B	Reactome
CDK2	KEGG & Reactome
CDK4	KEGG & Reactome
CDK5RAP2	Reactome
CDK6	KEGG & Reactome
CDK7	KEGG & Reactome
CDKN1A	KEGG & Reactome
CDKN1B	KEGG & Reactome
CDKN1C	KEGG
CDKN2A	KEGG & Reactome
CDKN2B	KEGG & Reactome
CDKN2C	KEGG & Reactome
CDKN2D	KEGG & Reactome
CDT1	Reactome
CENPA	Reactome
CENPC	Reactome
CENPE	Reactome
CENPF	Reactome
CENPH	Reactome
CENPI	Reactome
CENPJ	Reactome
CENPK	Reactome
CENPL	Reactome
CENPM	Reactome
CENPN	Reactome
CENPO	Reactome
CENPP	Reactome
CENPQ	Reactome
CENPT	Reactome
CENPU	Reactome
CENPW	Reactome
CEP131	Reactome
CEP135	Reactome
CEP152	Reactome
CEP164	Reactome
CEP192	Reactome
CEP250	Reactome
CEP290	Reactome
CEP41	Reactome
CEP57	Reactome
CEP63	Reactome
CEP70	Reactome
CEP72	Reactome
CEP76	Reactome
CEP78	Reactome
CETN2	Reactome
CHEK1	KEGG & Reactome
CHEK2	KEGG & Reactome
CKAP5	Reactome
CKS1B	Reactome
CLASP1	Reactome
CLASP2	Reactome
CLIP1	Reactome
CLSPN	Reactome
CNEP1R1	Reactome
CNTRL	Reactome
CREBBP	KEGG
CSNK1D	Reactome
CSNK1E	Reactome
CSNK2A1	Reactome
CSNK2A2	Reactome
CSNK2B	Reactome
CTDNEP1	Reactome
CUL1	KEGG & Reactome
DBF4	KEGG & Reactome
DCTN1	Reactome
DCTN2	Reactome
DCTN3	Reactome
DHFR	Reactome
DIDO1	Reactome
DKC1	Reactome
DMC1	Reactome
DNA2	Reactome
DSN1	Reactome
DYNC1H1	Reactome
DYNC1I2	Reactome
DYNLL1	Reactome
DYRK1A	Reactome
E2F1	KEGG & Reactome
E2F2	KEGG & Reactome
E2F3	KEGG & Reactome
E2F4	KEGG & Reactome
E2F5	KEGG & Reactome
EMD	Reactome
ENSA	Reactome
EP300	KEGG & Reactome
ERCC6L	Reactome
ESCO1	Reactome
ESCO2	Reactome
ESPL1	KEGG & Reactome
FAM175A	Reactome
FBXO5	Reactome
FBXW11	Reactome
FEN1	Reactome
FGFR1OP	Reactome
FKBP6	Reactome
FOXM1	Reactome
FZR1	KEGG & Reactome
GADD45A	KEGG
GADD45B	KEGG
GADD45G	KEGG
GINS1	Reactome
GINS2	Reactome
GINS3	Reactome
GINS4	Reactome
GMNN	Reactome
GOLGA2	Reactome
GORASP1	Reactome
GORASP2	Reactome
GSK3B	KEGG
H2AFB1	Reactome
H2AFX	Reactome
H2AFZ	Reactome
H2BFS	Reactome
H3F3A	Reactome
HAUS2	Reactome
HDAC1	KEGG & Reactome
HDAC2	KEGG
HDAC8	Reactome
HERC2	Reactome
HIST1H2AB	Reactome
HIST1H2AC	Reactome
HIST1H2AD	Reactome
HIST1H2AJ	Reactome
HIST1H2BA	Reactome
HIST1H2BB	Reactome
HIST1H2BC	Reactome
HIST1H2BD	Reactome
HIST1H2BH	Reactome
HIST1H2BJ	Reactome
HIST1H2BK	Reactome
HIST1H2BL	Reactome
HIST1H2BM	Reactome
HIST1H2BN	Reactome
HIST1H2BO	Reactome
HIST1H3A	Reactome
HIST1H4A	Reactome
HIST2H2AA3	Reactome
HIST2H2AC	Reactome
HIST2H2BE	Reactome
HIST2H3A	Reactome
HIST3H2BB	Reactome
HIST3H3	Reactome
HJURP	Reactome
HSP90AA1	Reactome
HSPA2	Reactome
HUS1	Reactome
INCENP	Reactome
